,0
467,10.337308
468,11.178683
469,9.124559
470,14.419258
471,32.826513
472,45.357724
473,41.261741
474,56.950351
475,68.958818
476,37.373100
477,32.461974
478,25.205666
479,21.529907
480,13.564116
481,9.799264
482,9.076176
483,15.293077
484,15.048550
485,13.411532
486,16.028858
487,19.014419
488,16.637281
489,20.219659
490,26.136199
491,24.960391
492,26.947336
493,25.260877
494,27.002302
495,31.843050
496,43.809873
497,43.107211
498,35.843416
499,31.471889
500,43.131776
501,44.968638
502,21.996047
503,18.965274
504,14.960790
505,13.477859
506,10.472717
507,15.604568
508,17.925755
509,18.345461
510,34.515549
511,19.247223
512,14.546950
513,9.866961
514,12.764103
515,11.109852
516,11.031143
517,15.605013
518,-3.854589
519,-6.048098
520,-7.146183
521,-7.379327
522,-7.379327
523,-7.379327
524,-7.379327
525,-7.379327
526,-7.379327
527,-7.379327
528,-7.379327
529,-7.379327
530,-7.379327
531,-7.379327
532,-7.379327
533,-7.379327
534,-7.379327
535,-7.379327
536,-7.379327
537,-7.379327
538,-7.379327
539,-7.379327
540,-7.379327
541,-7.379327
542,-7.379327
543,-7.379327
544,-7.379327
545,-7.379327
546,-7.379327
547,-7.379327
548,-7.379327
549,-7.379327
550,-7.379327
551,-7.379327
552,-7.379327
553,-7.379327
554,-7.379327
555,-7.379327
556,-7.379327
557,-7.379327
558,-7.379327
559,-7.379327
560,-7.379327
561,-7.379327
562,-7.379327
563,-7.379327
564,-7.379327
565,-7.379327
566,-7.379327
567,-7.379327
568,-7.379327
569,-7.379327
570,-7.379327
571,-7.379327
572,-7.379327
573,-7.379327
574,-7.379327
575,-7.379327
576,-7.379327
577,-7.379327
578,-7.379327
579,-7.379327
580,-7.379327
581,-7.379327
582,-7.379327
583,-7.379327
584,-7.379327
585,77.187710
586,81.009498
587,87.626175
588,128.886286
589,148.222498
590,215.154387
591,208.435582
592,246.625528
593,298.048695
594,377.086763
595,308.351751
596,282.024154
597,321.929035
598,321.005344
599,248.346698
600,223.076157
601,175.766822
602,159.281102
603,159.161201
604,145.527263
605,153.130995
606,164.985909
607,159.387762
608,160.743215
609,148.787982
610,94.122077
611,57.783627
612,50.370725
613,38.747549
614,26.312348
615,32.208271
616,43.816342
617,51.749388
618,35.631793
619,33.608581
620,24.429211
621,15.981831
622,16.608420
623,21.003534
624,28.050093
625,22.391803
626,26.757797
627,23.289965
628,23.031730
629,13.686957
630,11.708795
631,10.223895
632,11.795548
633,10.109230
634,6.325212
635,6.742348
636,15.848014
637,15.017371
638,7.934805
639,8.057742
640,16.057571
641,10.478672
642,18.482885
643,14.577336
644,19.002836
645,13.863061
646,18.031948
647,19.263323
648,14.879251
649,18.186390
650,11.926795
651,4.944667
652,4.818286
653,9.083034
654,13.257194
655,7.491097
656,6.098725
657,5.709702
658,5.577233
659,5.563961
660,23.178574
661,29.782587
662,36.672378
663,47.297823
664,23.885220
665,20.142431
666,19.793155
667,36.575309
668,42.045201
669,56.600375
670,62.976454
671,62.817442
672,68.032209
673,35.820687
674,34.122971
675,18.838189
676,19.051848
677,23.247041
678,29.294828
679,30.081347
680,28.511116
681,27.469531
682,20.772952
683,11.747084
684,19.725206
685,25.873394
686,30.506215
687,32.206590
688,40.144979
689,66.316645
690,64.450253
691,67.035200
692,92.601066
693,84.753006
694,36.912432
695,24.540270
696,19.461519
697,15.062058
698,10.795184
699,12.006282
700,12.903645
701,15.815932
702,11.588006
703,12.139588
704,5.657601
705,4.894211
706,9.142526
707,11.426291
708,10.941902
709,12.839384
710,19.515079
711,18.428955
712,47.088803
713,66.409196
714,128.405764
715,148.313028
716,102.931687
717,68.002911
718,69.037749
719,65.552662
720,74.286902
721,74.811816
722,67.125182
723,71.661800
724,71.735459
725,62.955095
726,51.760334
727,69.201064
728,76.066623
729,70.838348
730,55.343161
731,52.127029
732,38.000740
733,45.192295
734,59.008529
735,63.127911
736,61.928800
737,61.109269
738,62.967270
739,62.072418
740,62.056033
741,60.091694
742,54.113892
743,84.367167
744,71.007765
745,103.269757
746,97.620680
747,96.821223
748,86.990329
749,85.424549
750,92.172421
751,56.006290
752,35.767224
753,24.192942
754,20.580207
755,22.629798
756,26.482039
757,29.780632
758,37.846720
759,65.036132
760,80.279012
761,64.955985
762,68.692487
763,78.503942
764,87.135950
765,68.931401
766,70.130694
767,60.898353
768,71.041306
769,106.165737
770,94.335581
771,122.722997
772,135.495736
773,167.482785
774,123.680525
775,75.890622
776,58.380900
777,33.267185
778,12.289653
779,11.773871
780,9.163877
781,16.258981
782,27.323939
783,90.004580
784,85.006316
785,86.086864
786,95.361184
787,105.945708
788,115.848247
789,104.983766
790,100.845073
791,103.573643
792,105.602142
793,79.476400
794,35.310837
795,26.753427
796,22.489368
797,21.951797
798,20.888854
799,27.314186
800,24.190083
801,25.955866
802,23.269444
803,23.017177
804,54.552576
805,60.130571
806,77.186436
807,89.961026
808,78.843775
809,48.677586
810,56.615653
811,79.113964
812,61.796823
813,47.000499
814,51.162336
815,39.516016
816,43.360033
817,82.964909
818,103.980085
819,90.112920
820,101.957858
821,128.471409
822,116.424654
823,105.415995
824,116.450908
825,102.052490
826,73.749368
827,67.894356
828,70.614409
829,69.658317
830,78.631456
831,69.246188
832,62.028768
833,65.236742
834,60.313545
835,66.895014
836,56.502732
837,49.150011
838,48.282001
839,50.832348
840,42.363802
841,43.648270
842,81.029790
843,76.333220
844,67.046154
845,62.939506
846,63.265446
847,78.016879
848,72.920858
849,92.119839
850,77.022448
851,66.749170
852,82.713990
853,76.323037
854,82.277503
855,81.630207
856,99.974475
857,197.890191
858,100.533197
859,73.628830
860,42.311179
861,60.737705
862,65.265847
863,66.885883
864,63.475017
865,69.193080
866,75.436257
867,79.921130
868,87.435163
869,89.990524
870,92.334025
871,88.506371
872,80.363439
873,100.127325
874,105.969844
875,120.014275
876,128.128947
877,145.664731
878,157.981489
879,171.379906
880,152.798664
881,169.662913
882,163.784112
883,162.909834
884,167.369327
885,187.400210
886,197.093170
887,190.007227
888,195.040809
889,208.571065
890,188.623454
891,180.559579
892,173.858860
893,141.502568
894,138.200688
895,145.084687
896,165.981199
897,176.930492
898,177.993102
899,194.056672
900,170.101266
901,145.937252
902,149.821294
903,173.817861
904,207.636399
905,242.717076
906,220.262457
907,249.396704
908,277.930926
909,261.598804
910,242.998737
911,296.172549
912,266.610806
913,270.885952
914,254.849947
915,242.334667
916,208.299847
917,203.226659
918,219.391644
919,183.700975
920,96.752282
921,60.732528
922,37.489920
923,46.296460
924,47.390048
925,45.744451
926,50.590580
927,153.544421
928,187.613988
929,186.038299
930,191.290399
931,162.732448
932,38.084182
933,17.006664
934,14.498863
935,15.239125
936,1.610897
937,1.829022
938,1.293407
939,1.217497
940,3.061612
941,2.372413
942,12.442148
943,8.068903
944,9.754392
945,8.012263
946,4.174930
947,0.955417
948,1.308952
949,4.862506
950,8.049670
951,2.197657
952,4.360625
953,10.804597
954,9.753740
955,5.343777
956,3.902949
957,4.438068
958,3.526531
959,3.451894
960,5.238940
961,5.442201
962,3.716432
963,3.526575
964,2.522257
965,2.386262
966,4.156867
967,5.272925
968,5.475446
969,5.550394
970,13.835467
971,12.004127
972,7.521749
973,11.562174
974,10.900229
975,12.796785
976,15.798165
977,14.331602
978,17.989120
979,13.725001
980,7.877291
981,10.723243
982,15.421228
983,10.510887
984,10.172839
985,5.397211
986,3.878021
987,2.620244
988,4.218136
989,7.114374
990,13.958982
991,19.487010
992,15.694912
993,13.673004
994,7.815030
995,7.027481
996,6.718752
997,6.644272
998,4.821656
999,11.939089
